"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 1, 3
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\package-lock.json", "JSON", 0, 0, 0, 29091, 0, 0, 0, 1, 29092
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 1, 39
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\App.css", "CSS", 0, 0, 106, 0, 0, 0, 3, 11, 120
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\App.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Box\Box.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 3, 36
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Box\Box.module.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 1, 15
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Circle\Circle.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 8
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Circle\Circle.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Cross\Cross.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 3, 27
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\FormContainer\FormContainer.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 3, 69
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Form\form.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 3, 53
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Input\Input.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 3, 23
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Main\Main.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 4, 92
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Main\Main.module.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\Select\Select.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\UserSubmition\UserSubmition.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"h:\react.js\bootcamp\cw\Tic-Tac-Toe_react\app\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 40, 376, 145, 29154, 20, 1, 33, 90, 29859